Veh. Name	Veh. ID	Manufacterer	Trim level	Size	Performance	Safety	Insurance	Warranty	Price	"Wheelbase, in."	"Overall Length, in."	"Overall Width, in."	"Overall Height, in."	"Curb Weight, lbs."	"Cargo Volume, cu. ft."	"Fuel Capacity, gals."	Seating Capacity	"Front Head Room, in."	"Max. Front Leg Room, in."	"Rear Head Room, in."	"Min. Rear Leg Room, in."	"Size, liters/cu. in"	Horsepower 	 rpm	Torque (lb-ft) @ rpm	MPG (city)	MPG (highway)	"Front Impact, Driver"	"Front Impact, Passenger"	Rollover Resistance	"Side Impact, Driver"	"Side Impact, Rear Passenger"	Insurance Costs	Bumper-to-bumper	Extended powertrain	Corrosion	Free roadside assistance	Free scheduled maintenance	Retail Price	Dealer Invoice
S	I	S	S	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	I	I	I	I	I	I	I	I	I	I	I	I	I
N	N	N	N	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q
2005 Saturn Ion	38248	Saturn	Red Line	0.15	0.02	0.13	-0.05	0.03	-0.02	103.2	185	67.9	56	2751	14.2	13.2	4	38.9	42.2	36.5	32.7	2	205	5600	200	23	29	5	5	NA	4	4	1440	108000	0	600000	108000	0	20885	19477
2005 Toyota Echo	38249	Toyota	Standard	0.14	0.02	0.11	-0.04	0.03	0	93.3	164.6	65.4	59.4	2035	13.6	11.9	5	39.9	41.1	37.6	35.2	1.5	108	6000	105	34	40.5	NA	NA	NA	NA	NA	1260	108000	300000	600000	NA	0	10455	9827
2005 Toyota Echo	38249	Toyota	Standard	0.14	0.02	0.11	-0.04	0.03	0	93.3	164.6	65.4	59.4	2035	13.6	11.9	5	39.9	41.1	37.6	35.2	1.5	108	6000	105	34	40.5	NA	NA	NA	NA	NA	1260	108000	300000	600000	NA	0	11255	10579
2005 Toyota Echo	38249	Toyota	Standard	0.14	0.02	0.07	-0.04	0.03	0	93.3	164.6	65.4	59.4	2055	13.6	11.9	5	39.9	41.1	37.6	35.2	1.5	108	6000	105	34	40.5	4	4	4	3	4	1260	108000	300000	600000	NA	0	10985	10324
2005 Toyota Echo	38249	Toyota	Standard	0.14	0.02	0.07	-0.04	0.03	0	93.3	164.6	65.4	59.4	2055	13.6	11.9	5	39.9	41.1	37.6	35.2	1.5	108	6000	105	34	40.5	4	4	4	3	4	1260	108000	300000	600000	NA	0	11785	11076
2005 Toyota MR2 Spyder	38252	Toyota	Standard	0.1	0.02	0.11	-0.07	0.03	-0.02	96.5	153	66.7	48.8	2195	48.8	12.7	2	37.3	42.2	NA	NA	1.8	138	6400	125	26	32	NA	NA	NA	NA	NA	1800	108000	300000	600000	NA	0	25145	22754
2005 Toyota MR2 Spyder	38252	Toyota	Standard	0.1	0.02	0.11	-0.07	0.03	-0.02	96.5	153	66.7	48.8	2195	48.8	12.7	2	37.3	42.2	NA	NA	1.8	138	6400	125	26	32	NA	NA	NA	NA	NA	1800	108000	300000	600000	NA	0	26145	23659
2005 Toyota Matrix	38253	Toyota	"St,ard , XR"	0.19	0.02	0.1	-0.04	0.03	-0.01	102.4	171.3	69.9	61.6	2943	53.2	11.9	5	40.6	41.8	39.8	36.3	1.8	130	6000	125	29	35	5	4	4	3	4	1260	108000	300000	600000	NA	0	14860	13744
2005 Toyota Matrix	38253	Toyota	"St,ard , XR"	0.19	0.02	0.1	-0.04	0.03	-0.01	102.4	171.3	69.9	61.6	2943	53.2	11.9	5	40.6	41.8	39.8	36.3	1.8	130	6000	125	29	35	5	4	4	3	4	1260	108000	300000	600000	NA	0	15660	14484
2005 Toyota Matrix	38253	Toyota	"St,ard , XR"	0.19	0.02	0.1	-0.04	0.03	-0.01	102.4	171.3	69.9	61.6	2943	53.2	11.9	5	40.6	41.8	39.8	36.3	1.8	130	6000	125	29	35	5	4	4	3	4	1260	108000	300000	600000	NA	0	17395	16088
